videoId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
01DdvEHX,1577,1577,2802,5817,765,2532,3990,4060,2492,4861,5431,2749,4123,2749,1034,1480,3776,5500,3550,2393
01HmDgRX,5783,5326,2937,2655,5783,3430,3459,4827,2655,2352,2287,2471,4702,2789,2279,4720,4649,1592,1553,5663
01MDIjwg,390,1089,3616,3583,5606,2351,2025,1937,1371,1764,4496,1404,791,56,2733,1905,571,2502,4095,1149
02Dnm154,5701,2996,2996,5029,4352,5149,2445,5530,2974,2577,2799,4282,18,2047,3324,4417,2965,4209,537,1719
02I1exYc,2501,2737,5567,2926,5445,1047,5538,2035,678,807,5809,4109,1542,1158,5612,5491,551,2495,3571,917
02J5ABU1,2532,3568,3322,4693,2899,1487,3948,5799,4861,3288,5705,4080,4993,703,799,517,2565,390,3883,1048
02nzMLRu,5562,3218,5039,3999,3414,2944,217,3896,194,2838,704,1249,3319,5691,4819,462,2313,5138,5856,194
03JDeH1Y,4263,4263,10,2410,5845,2490,4497,3408,527,4274,4408,470,4782,861,1792,178,4408,4563,1737,3959
03iWqftg,1112,2344,4658,850,540,2218,2393,98,2218,1897,1112,814,2393,5099,1113,5199,3902,850,4131,3067
03trKEHD,3897,5084,4300,2671,2614,3210,1252,2789,5723,3694,870,724,2614,360,2114,2665,725,3061,3846,1459
04Bz1rtE,3713,1700,1567,2968,979,771,2493,979,2274,3213,2009,4903,1453,1390,2572,5530,771,2877,3373,2996
04f6m3BF,2827,3140,685,1212,2405,476,3679,3539,3303,1731,2906,253,4224,91,2921,476,2838,747,3347,2296
04v6H7X9,2801,5204,1359,4267,3438,2622,4127,4316,4971,1553,4483,4971,618,2862,912,3430,4424,1359,2471,5023
056nP9o7,859,399,3122,470,1381,2013,4563,5477,683,3303,4022,5845,5334,5929,3408,5889,3244,2049,5379,2139
05E2iJoG,2179,3260,906,5074,1364,5340,2155,298,5074,5047,5998,1872,3422,4564,4564,5065,5378,1262,540,4330
05lMWEKB,927,5454,3500,4803,3084,5226,3084,5226,2333,5766,357,5454,4894,2168,3628,4243,2878,5830,1915,2358
05xeuoSX,3470,5876,1757,1757,5334,527,3488,389,2251,2021,527,3437,3470,5107,3863,4524,2415,3103,5275,1386
06UxtWqT,1780,1573,5055,4092,1451,5463,4610,4664,597,4226,5654,4613,1571,5880,4790,4226,1216,830,796,3239
06gZx83y,3230,5345,5991,5487,383,2253,5991,4725,5179,3230,8,4624,2253,1725,942,8,5557,4660,5613,2142
07LhF2BP,1835,3603,1869,439,5983,4128,5385,3360,4881,5004,2844,5689,3242,935,4128,2414,976,5139,5193,4881
07SwazrD,4340,332,1709,2050,5186,3368,2943,1598,5782,1859,5489,5186,3922,4791,2706,5714,1828,4513,2707,2050
07qf5K8H,2595,1204,2042,1851,4665,5591,637,3174,985,2388,1603,3117,373,2922,3273,4732,5977,5585,1176,373
08ErV6Xg,3115,3115,1392,3016,3259,18,5646,2356,3016,3497,1886,5947,3761,2006,4894,1509,122,4125,3386,5085
08JsCOaT,3402,4386,1753,3322,4178,3187,3278,5542,4441,304,5491,381,742,2540,3288,3979,3035,3296,4073,461
08sTc3wn,4544,4443,1236,3152,431,5257,2613,3820,378,431,3842,3978,2792,2215,4871,5274,2995,2606,2908,3477
09CoMjl3,2928,3761,2928,5947,3762,5633,4392,5371,4313,2651,3078,4998,1719,1390,1255,939,60,2420,3269,3516
09ofrKBW,1103,973,1667,3084,1286,2333,3174,1053,357,2333,3273,2125,2368,2156,2125,2521,2439,1307,2431,2878
0AXQeD8I,2669,919,919,2251,2553,1638,2592,391,3408,2066,4969,36,4081,909,601,3437,1843,5131,4741,391
