videoId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
01DdvEHX,1577,1577,3420,2393,2393,5817,2492,1983,346,2061,3259,2625,4432,5500,5241,3420,544,4123,2447,2802
01HmDgRX,2655,2655,5326,5783,3430,2937,3134,2287,5783,2937,4827,5672,2352,484,2789,2800,1746,1339,5137,4870
01MDIjwg,1937,5606,210,1454,2351,390,636,1591,5524,2099,56,1371,1937,1404,571,791,3583,2395,2447,1089
02Dnm154,2996,2996,4209,2009,2418,5701,4847,272,1227,3183,87,5530,4483,1856,3324,1351,4165,1985,1580,2271
02I1exYc,2737,2501,2737,633,1158,2544,3288,1158,422,2926,547,4693,5491,1167,3571,1045,3090,1536,4269,3503
02J5ABU1,1744,3288,2938,4693,5391,3948,2938,3777,2899,4109,4573,822,4861,1436,1158,2717,4725,1037,4944,1459
02nzMLRu,5562,212,5856,5411,3464,3807,2517,5691,5562,3999,3999,809,439,194,3925,462,3281,2834,725,33
03JDeH1Y,4263,4263,2828,4627,4408,4714,36,4090,2410,10,3408,1933,5845,409,5737,914,4439,3855,1933,4782
03iWqftg,2344,1112,2393,1112,4658,3067,3067,5099,1030,850,5297,1113,5297,850,2881,2658,5094,1113,2983,4131
03trKEHD,1977,2665,2671,5084,4986,5821,394,3210,1844,1252,288,15,2938,5715,888,4300,3897,5556,2104,1748
04Bz1rtE,3713,2968,3713,979,5541,979,771,2572,4038,2274,915,272,2968,2572,4746,2009,3213,5530,2010,1243
04f6m3BF,685,2962,3140,2921,2827,3347,4220,3347,5796,2405,688,4206,3668,4447,2962,2327,2906,1731,1207,3303
04v6H7X9,1359,5282,4127,1359,2801,2862,5204,5035,4971,3438,2367,5665,618,4267,1634,2537,4413,2414,5282,5688
056nP9o7,5845,5477,4563,1381,4563,4736,4379,1057,1381,2139,470,859,3445,5845,879,3855,702,5839,1704,683
05E2iJoG,2179,2179,5340,4564,4564,1364,298,473,906,5378,4935,5483,2608,4102,2381,2345,4062,4330,3285,540
05lMWEKB,927,3500,5226,927,5226,4479,2886,2878,4803,2115,3084,2333,2168,1307,5981,985,1015,1755,5454,1079
05xeuoSX,3470,3470,5136,527,5876,2858,4310,527,2021,2415,1386,389,4497,2278,3488,2858,5275,5169,792,4972
06UxtWqT,1780,4092,647,3537,2254,2043,4226,1749,4749,936,4885,1749,4226,457,2395,5055,5239,4613,3958,1032
06gZx83y,3230,4725,8,4660,8,4660,5991,5991,5613,5256,3759,3189,1340,4936,383,180,4426,104,782,2371
07LhF2BP,1835,4881,4128,2844,3603,4128,5689,4881,5193,5229,465,1869,2090,5004,834,1208,5193,3242,1835,3912
07SwazrD,2050,5186,2050,332,3922,5782,2943,5714,5186,1816,905,1828,4340,1709,5174,3368,2180,4791,2706,1598
07qf5K8H,4665,2595,3631,2042,5441,3117,2768,521,637,2014,1785,3500,3633,3597,4440,373,2878,1644,1934,2388
08ErV6Xg,3115,3115,2356,121,1285,1392,3497,18,3386,4191,5919,3016,3386,4125,3761,5077,4392,1886,3497,2006
08JsCOaT,3402,636,198,304,5173,3979,636,3187,3296,204,2447,4179,3288,5173,2935,5513,4920,5037,2899,2315
08sTc3wn,3842,4871,378,1568,3978,2613,5973,4443,431,5973,3820,3152,2908,431,3031,5274,2215,3842,4765,5469
09CoMjl3,2928,2928,4392,5371,3761,4545,5947,4392,5371,4313,5633,3373,1407,761,4114,5947,2651,489,4313,1420
09ofrKBW,973,1053,596,1118,4079,1103,2125,5981,2333,2333,1286,2521,1053,3084,2125,973,5585,3174,5216,1307
0AXQeD8I,919,919,909,3769,3280,1150,817,527,2553,4402,2255,2522,3672,4497,2251,2858,5764,2592,2415,1638
0BHSGQDa,4625,4989,4769,3549,3997,4625,4769,4989,1867,3549,3997,4500,1520,3314,60,332,2143,1205,295,3479
0BaDgyY2,2180,3339,2180,1422,4724,3899,3246,4724,3134,1336,3339,2727,2947,2930,3197,5495,3019,4610,1592,4794
0Bi8sx1W,5059,3077,3048,3503,4441,1786,1313,4693,153,1421,3822,3365,1449,614,1131,3837,3365,3691,2127,3466
0BkN9sC8,5859,2027,2587,3433,733,4610,3676,3031,4047,3405,1336,4433,5969,3676,4325,2707,3708,2027,469,3000
0BvjOb2g,2122,1318,1410,5163,106,793,4319,180,2671,807,5668,3571,5248,2958,2555,874,5668,1977,352,1124
0C4tJAmp,3488,3488,3863,4451,1838,5477,2803,2862,4145,5051,735,4451,3799,552,5741,792,2066,5418,2309,2599
0CNgmAMR,1814,2952,1554,637,4418,2370,4256,4647,3249,5519,3221,2952,5877,4762,1604,2086,3478,169,2115,4110
0CVQESLj,1283,660,4051,5012,1784,5012,3082,2805,5486,4685,5528,4051,2062,5628,377,3141,5205,3082,3970,1507
0Ch9Lprl,286,2754,2345,3072,286,4639,1618,4639,5479,1377,1377,5571,5515,1676,788,4935,3565,5280,713,5099
0Cmnfo2J,2373,1205,60,5928,5113,4500,555,1279,4325,5221,4325,804,2322,5066,1865,2373,1460,1205,190,1336
0DLlAba3,3606,1103,1103,1546,2666,1667,3571,5590,596,197,2014,338,687,5222,2125,163,373,4838,2741,2125
0EBmJ3kG,3667,3667,5241,4789,4178,1866,311,3259,3092,2774,4125,2437,1648,3067,3895,5064,2083,3613,5435,2449
0ELx4hGY,4728,4728,4911,3763,3763,5414,378,5414,1523,5651,3871,1419,1523,4911,4228,4228,1012,994,3031,5859
0ENa2zHR,4851,4851,469,5643,2046,1979,3043,3316,3145,4769,3553,905,4610,1336,3433,2143,2308,2587,3676,3031
0Ef4I5tj,398,398,3703,3894,3703,1332,3475,5904,3375,5006,3309,3223,4560,4185,4185,186,186,3651,4252,4772
0Eg8etIj,2826,2826,4693,4259,1158,3547,4768,2260,1089,3831,757,2737,1089,4225,1694,158,158,4605,4828,2636
0ExfP3rN,4433,1277,4420,800,4189,1142,1083,4443,5859,4844,4025,5814,1389,2669,1921,553,1482,4420,4325,348
0F7Q9vA6,1372,1372,3648,3531,5177,2702,2116,3669,508,1121,3033,5586,4784,1121,5874,1833,878,2491,3638,3755
0FCAe1WV,4797,1454,4646,3533,62,210,4486,5509,1400,2540,4947,2317,2081,5509,4866,2833,2833,467,2919,1458
0GCbeMcB,164,164,1816,1452,1649,5481,570,1430,1709,4122,408,2111,1430,570,273,5835,1709,1279,3095,3398
0GFk93zr,3834,3638,3638,1749,2181,5697,2395,1749,1833,5529,1780,1498,1784,3834,2824,3685,2067,1579,4503,5982
0GVFqNuf,322,2802,1689,4970,4845,4381,5063,319,3654,4332,3079,2098,1499,3111,2549,1877,322,4218,711,4444
0Gp5m82j,5499,4326,1145,4449,4355,2024,4326,5812,2325,5913,1562,252,1131,1131,1316,1070,2306,5210,816,1842
0GpUxrL9,4686,3638,2823,4389,2823,4341,2821,1852,5793,4118,5033,4389,5098,3908,5291,4496,5291,4421,1930,4485
0HVjONpZ,2080,2037,1753,2099,2080,2099,5167,5808,5494,208,4822,269,5425,5808,3626,3490,1963,2037,657,3867
0Hb5ejA2,2414,4127,1706,725,3242,4127,3233,5908,4267,4040,2471,2464,2789,2414,241,3438,1361,5189,1031,5861
0Hs9npUZ,5271,2516,5074,4710,3923,1831,3247,1246,1931,2516,2535,5126,3375,2893,5061,5074,969,2982,5061,2409
0I8hAFSa,2309,4090,5355,4741,391,688,4627,5160,3150,4497,36,3656,3408,5136,4513,2021,4950,3345,5001,4887
