videoId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
01DdvEHX,1577,1577,5817,3420,2625,2447,3948,1983,2393,3259,2393,2749,2749,2118,2492,5823,1878,4432,2061,5241
01HmDgRX,2655,5326,5783,2655,3430,5783,3134,4827,5137,2352,1634,1990,2287,5672,3459,1339,2208,1746,2789,484
01MDIjwg,1937,5606,2351,4258,390,1089,210,1454,3616,1937,4258,1404,791,3583,1371,4646,1905,4087,2458,56
02Dnm154,2996,4778,4209,2996,2271,5530,87,4778,2418,2256,2418,3324,2009,1227,1856,3719,1351,5133,272,1227
02I1exYc,2737,2501,2035,3571,2926,5567,3731,165,4269,2899,2668,168,1089,5003,1158,2106,4620,1536,807,1538
02J5ABU1,822,571,3568,3948,5391,1744,551,3322,1487,4693,4725,1354,3288,2899,2120,2187,390,3883,5465,2899
02nzMLRu,3218,5562,2517,2834,5411,3882,33,3999,3999,3138,4464,3105,2197,4605,439,212,4573,1767,5391,2964
03JDeH1Y,4263,4263,4408,5845,1933,2828,3408,3656,4627,36,4090,1737,879,409,41,4497,4756,4439,1933,914
03iWqftg,1112,2344,5099,4658,2393,3067,1112,5297,249,850,5297,2393,540,1551,3067,4131,850,1113,2881,2135
03trKEHD,2671,5084,1252,2665,1977,5821,180,3897,3422,1748,4986,4300,84,464,3806,870,394,5723,1328,288
04Bz1rtE,2968,3713,2009,5091,979,5541,4878,2572,1585,1243,4691,4746,3713,2009,268,979,3078,2109,5530,4903
04f6m3BF,2962,2327,1731,3347,3140,2921,2906,685,2827,3347,1212,2013,5506,4045,3657,988,5175,3303,4447,4656
04v6H7X9,1359,2862,5282,2801,1359,3438,4267,4971,4127,5204,4239,1553,4424,2537,4316,4971,5688,437,3180,1573
056nP9o7,4563,683,5477,859,1138,5845,1057,702,4711,4736,3445,1704,1381,4656,5744,4379,1381,2822,4563,2139
05E2iJoG,2179,2179,5340,1364,4564,4935,2202,4564,5065,4102,1920,5378,298,5953,3526,473,4873,3903,2240,473
05lMWEKB,3500,927,4803,927,5226,5226,2878,1307,2886,2168,4665,2333,3325,5981,521,3084,2886,1079,3084,5766
05xeuoSX,3470,527,5136,3470,3863,2415,3488,4497,5876,5107,2251,5275,4972,3012,685,2278,527,4310,4497,896
06UxtWqT,1780,647,4092,1573,4226,1571,3556,437,2107,2043,139,4226,3958,5055,2119,3476,2105,4664,1361,2254
06gZx83y,8,8,3189,4725,5991,5991,2253,4660,2380,3230,2253,1977,180,3759,2561,5299,4624,4660,5256,3006
07LhF2BP,1835,3603,4881,2844,4881,834,5004,3242,2090,465,5139,5193,5193,5229,834,1869,439,4128,5139,935
07SwazrD,2050,332,2050,2706,1709,1816,5782,5186,4513,4340,2943,1828,3922,905,5174,3763,5489,5186,5489,1679
07qf5K8H,4665,3174,2014,2595,1970,3633,5441,3117,3500,373,3631,2768,1644,2042,521,1367,4382,1934,229,243
08ErV6Xg,3115,2356,3115,1392,1285,1886,3386,18,3016,5947,5919,5646,3761,4125,4036,1509,270,5360,121,1569
08JsCOaT,3402,3979,636,5513,3296,3288,2571,1753,315,2393,3322,1313,5542,304,5491,4758,1337,3187,3717,990
08sTc3wn,3842,431,3978,5973,378,3152,4871,1568,4765,2613,5973,431,2606,2215,3842,4443,3820,1236,2880,2792
09CoMjl3,2928,3761,5947,2928,4545,5371,3373,4392,4392,4313,2651,2353,5371,5066,5947,4313,761,489,5853,3761
09ofrKBW,973,1103,2125,1053,1118,1307,2768,2521,1286,4079,596,985,3174,2156,1667,1546,1307,3174,5981,1053
0AXQeD8I,966,919,909,2669,4081,3437,527,919,2255,2592,1638,2251,2238,3769,4081,3488,2522,391,4497,2066
0BHSGQDa,4625,4769,3997,3997,3549,4500,4769,4989,4989,4625,1520,1867,3549,5066,295,60,3314,3715,3316,3297
0BaDgyY2,2180,3339,1422,2180,4724,3246,5495,3134,1336,2930,4610,3899,1990,2727,4724,3197,110,5409,1592,2653
0Bi8sx1W,5059,3077,3048,3365,4441,5720,3503,1786,3692,3035,1313,153,4232,947,2182,3822,3691,1131,3466,93
0BkN9sC8,5859,3433,2027,3031,1336,3676,3405,733,4047,3676,4433,60,1586,3000,5782,28,1205,2587,3528,4610
0BvjOb2g,3571,2122,1318,106,5555,711,807,5163,793,2671,1863,1410,5668,2100,180,1410,1629,3252,5248,5723
0C4tJAmp,3488,4451,1838,3488,3863,1429,5051,748,4145,2862,4288,78,4451,5741,2803,2941,4524,1587,552,831
0CNgmAMR,2952,1554,1814,2952,5877,4418,3221,4256,1604,4678,2086,1326,3914,2115,100,2370,3478,5452,5519,637
0CVQESLj,5012,2805,4051,5012,377,453,1283,5205,5628,660,1784,4685,5486,775,2062,2909,4685,5233,4384,3638
0Ch9Lprl,286,286,5479,958,2849,1618,918,4639,1100,3527,5515,1676,5240,1148,2240,4935,4436,4283,974,992
0Cmnfo2J,804,5066,4648,2362,577,2373,5888,5928,4006,5540,190,4325,3833,1205,555,60,2322,5846,643,1205
0DLlAba3,1103,3226,1546,2125,3606,373,2125,3571,1103,596,4876,1970,3633,1785,373,2014,4440,5441,2640,4556
0EBmJ3kG,3667,2437,1866,5475,3667,3092,3067,4028,1692,3259,4789,551,4028,1648,5787,4900,5787,2449,5435,5241
0ELx4hGY,4728,4728,3763,4911,1523,1523,5414,5414,186,3871,3458,378,1419,3763,5651,186,5370,1083,1818,378
0ENa2zHR,3145,3316,5643,469,3145,2046,1979,3043,3433,5437,1520,407,2308,1336,1102,3922,761,4495,4215,2143
0Ef4I5tj,398,398,3703,3703,1332,5904,3382,204,5656,3894,3700,2454,3377,3375,2752,2155,3475,3289,2616,3223
0Eg8etIj,2826,4693,4259,4768,4225,3696,5524,4828,3082,3591,2330,1158,1749,2737,4248,3831,4248,5702,2826,1459
0ExfP3rN,4433,4189,5814,1921,4844,214,5859,1142,1389,3351,800,1277,1083,4325,4420,3055,2670,4443,3405,2906
0F7Q9vA6,1372,1372,508,4784,3648,5177,3669,5301,2702,3033,3531,2513,1121,4575,1563,2491,2253,763,1121,2649
0FCAe1WV,4866,4486,2833,2833,4797,4947,5112,1400,4646,1454,210,4947,636,2601,674,1458,161,210,62,2524
0GCbeMcB,164,164,570,1816,1452,1649,3053,3398,3439,4122,5835,1430,273,1430,3520,5481,1279,2111,609,3518
0GFk93zr,3834,3638,2530,2395,3638,1833,3685,5982,3604,172,1948,2181,1833,5697,1507,1325,1372,1749,1174,2824
0GVFqNuf,322,2802,4970,1689,1877,2642,1468,5063,1318,4332,5287,4381,1001,2549,3111,3079,2642,2191,711,634
0Gp5m82j,5499,1145,2029,2473,2024,1562,4449,2325,2656,1842,5913,1506,5812,4326,1271,1131,2117,3692,1918,1316
0GpUxrL9,2823,4686,4389,3638,517,2821,4118,4485,4341,2667,4389,3925,1174,5793,1852,5063,3958,5793,39,2413
0HVjONpZ,2080,1753,2037,208,5167,269,2080,2099,5494,3225,2099,3867,1484,162,390,5808,461,3994,4198,5435
0Hb5ejA2,2414,4127,3233,5908,1857,4040,709,5926,2309,975,2471,3242,241,3459,725,4599,4971,4720,3151,1254
0Hs9npUZ,5271,2516,4710,2409,3923,3624,1931,456,3343,1148,1772,1831,103,4330,5626,4269,1246,5074,5985,5126
0I8hAFSa,2309,4513,688,5355,988,5001,2760,1534,3345,36,3656,3202,2592,4656,4022,5160,3679,3408,4090,4950
0I9Y1lAG,5389,5389,1665,2649,2491,2649,2035,4236,5567,4390,1636,3895,5100,4963,549,4130,5836,4076,2106,1158
0IVPpCo2,3063,5565,5565,5375,3534,1735,2282,4852,2498,1735,4527,4133,4962,2021,2122,4800,3063,277,2377,1444
0IpRGbry,4866,291,5008,714,668,675,5995,650,4312,5537,2482,3542,4486,155,2313,668,4821,3542,291,5397
0IxhmVDv,704,5937,736,2551,3386,2493,964,6000,795,5962,1950,4489,759,1178,5601,1108,1917,518,2551,4744
0J2aSlNo,1730,1285,5140,1472,3618,1028,2290,1990,1730,58,4309,513,5137,3430,4192,4086,2887,2208,2208,2728
0JBwlLg5,5060,109,859,2674,2323,5789,795,1698,708,233,5379,3789,4090,1936,4707,109,2674,3702,5444,2623
0JMdqGUN,3041,5883,3799,1179,5788,833,4674,5735,4036,5735,1289,831,2847,5883,2112,5355,702,3442,4145,4711
0JYWnkKv,5241,5200,3667,2493,5064,5288,4925,3667,90,3105,5181,1683,5921,3105,5399,447,3641,5962,90,2416
0JepAxY1,3254,5706,3665,5361,2509,5706,3254,1503,1006,4300,3211,989,1940,473,161,3751,3526,1354,288,2969
0JlSXE8R,1804,1053,4251,1456,1152,373,3605,2439,4344,1625,2156,3699,1367,5981,5956,4291,1625,5356,3397,1053
0JydRAr2,2929,207,268,2844,518,3321,3244,5638,935,5128,620,552,5347,5480,3394,3244,4356,1777,1534,2560
